nohup: python: No such file or directory
adam_iter = 15000
bfgs_iter = 1000
Nf = 2000
save_path = ./data/2023_03_07_00_54_12
verbose = False
repeat = 1
start_epoch = 0
num_layers = 4
num_neurons = 50
(500, 1) (2000, 1)
epoch:   1179, lr: 1.000e-03, data_loss: 3.634e-01, pde_loss: 6.524e-03, cost: 60.49
epoch:   1199, lr: 1.000e-03, data_loss: 3.634e-01, pde_loss: 6.271e-03, cost: 62.19
epoch:   1219, lr: 1.000e-03, data_loss: 3.633e-01, pde_loss: 6.031e-03, cost: 63.88
epoch:   1239, lr: 1.000e-03, data_loss: 3.633e-01, pde_loss: 5.803e-03, cost: 65.11
epoch:   1259, lr: 1.000e-03, data_loss: 3.632e-01, pde_loss: 5.588e-03, cost: 66.17
epoch:   1279, lr: 1.000e-03, data_loss: 3.638e-01, pde_loss: 3.359e-02, cost: 67.25
epoch:   1299, lr: 1.000e-03, data_loss: 3.734e-01, pde_loss: 3.593e-01, cost: 68.25
epoch:   1319, lr: 1.000e-03, data_loss: 3.639e-01, pde_loss: 4.070e-02, cost: 69.55
epoch:   1339, lr: 1.000e-03, data_loss: 3.632e-01, pde_loss: 7.945e-03, cost: 71.68
epoch:   1359, lr: 1.000e-03, data_loss: 3.631e-01, pde_loss: 4.855e-03, cost: 74.10
epoch:   1379, lr: 1.000e-03, data_loss: 3.630e-01, pde_loss: 4.562e-03, cost: 75.11
epoch:   1399, lr: 1.000e-03, data_loss: 3.630e-01, pde_loss: 4.385e-03, cost: 76.05
epoch:   1419, lr: 1.000e-03, data_loss: 3.629e-01, pde_loss: 4.233e-03, cost: 77.13
epoch:   1439, lr: 1.000e-03, data_loss: 3.629e-01, pde_loss: 4.086e-03, cost: 78.71
epoch:   1459, lr: 1.000e-03, data_loss: 3.629e-01, pde_loss: 3.948e-03, cost: 79.87
epoch:   1479, lr: 1.000e-03, data_loss: 3.628e-01, pde_loss: 3.816e-03, cost: 81.20
epoch:   1499, lr: 1.000e-03, data_loss: 3.628e-01, pde_loss: 3.754e-03, cost: 82.15
epoch:   1519, lr: 1.000e-03, data_loss: 3.878e-01, pde_loss: 1.002e+00, cost: 83.08
epoch:   1539, lr: 1.000e-03, data_loss: 3.648e-01, pde_loss: 7.160e-02, cost: 84.00
epoch:   1559, lr: 1.000e-03, data_loss: 3.634e-01, pde_loss: 1.967e-02, cost: 84.92
epoch:   1579, lr: 1.000e-03, data_loss: 3.628e-01, pde_loss: 4.795e-03, cost: 85.84
epoch:   1599, lr: 1.000e-03, data_loss: 3.627e-01, pde_loss: 3.489e-03, cost: 86.77
epoch:   1619, lr: 1.000e-03, data_loss: 3.627e-01, pde_loss: 3.129e-03, cost: 87.71
epoch:   1639, lr: 1.000e-03, data_loss: 3.626e-01, pde_loss: 3.009e-03, cost: 88.62
epoch:   1659, lr: 1.000e-03, data_loss: 3.626e-01, pde_loss: 2.915e-03, cost: 89.54
epoch:   1679, lr: 1.000e-03, data_loss: 3.626e-01, pde_loss: 2.830e-03, cost: 90.45
epoch:   1699, lr: 1.000e-03, data_loss: 3.626e-01, pde_loss: 2.749e-03, cost: 91.37
epoch:   1719, lr: 1.000e-03, data_loss: 3.626e-01, pde_loss: 2.673e-03, cost: 92.29
epoch:   1739, lr: 1.000e-03, data_loss: 3.626e-01, pde_loss: 4.278e-03, cost: 93.22
epoch:   1759, lr: 1.000e-03, data_loss: 3.771e-01, pde_loss: 4.968e-01, cost: 94.15
epoch:   1779, lr: 1.000e-03, data_loss: 3.627e-01, pde_loss: 3.751e-03, cost: 95.21
epoch:   1799, lr: 1.000e-03, data_loss: 3.628e-01, pde_loss: 8.841e-03, cost: 96.19
epoch:   1819, lr: 1.000e-03, data_loss: 3.625e-01, pde_loss: 2.835e-03, cost: 97.12
epoch:   1839, lr: 1.000e-03, data_loss: 3.625e-01, pde_loss: 2.477e-03, cost: 98.12
epoch:   1859, lr: 1.000e-03, data_loss: 3.625e-01, pde_loss: 2.257e-03, cost: 99.26
epoch:   1879, lr: 1.000e-03, data_loss: 3.624e-01, pde_loss: 2.192e-03, cost: 100.78
